id,sentence,label
4,Johnny spoke and loved having fun.,positive
6,I called Moveaholics Jason was amazing that he even offered to go out that night.,positive
12,"Seriously, fall off the bone.",positive
19,Permanently use their green/garlic dough at the front.,positive
20,You could say it's homemade.,positive
22,I highly recommend any place except his.,positive
25,I'll take H & H every day.,positive
26,"This time, we jumped the combo and ordered individual portions of meat were similar, but you probably save little dollars by doing the combo.",positive
29,The second time it was a bigger guy with a shaved head that provided excellent customer service.,positive
33,"They are just as good at ""soft skills"" as translation.",positive
41,Dry rubs were well rubbed and bison were used in the sauce.,positive
43,Food is always delicious.,positive
44,It's full of clams.,positive
53,I appreciate you being open when you say you're open.,positive
54,And the big thing is that there are tons of other people who have the same feelings about this place.,positive
59,I left my dog with Melody for 30 days.,positive
61,Very nice experience.,positive
62,They were not stunned about it like most Thai restaurants.,positive
63,"And guess what, they quickly show up in nice clean cars and are friendly.",positive
65,A wonder of production design.,positive
69,"We wanted to try this place because it's not far from the office, and the menu seemed decent.",positive
71,"The best thing about it was that at the end of my meal, I went to the cash register to pay the difference between spaghetti and pizza and they told me it was on them and apologized for the inconvenience.",positive
73,It's written anyway.,positive
86,"If you have a good credit, you shouldn't have any problems.",positive
87,"Yes, we enjoyed some appetizers and our bread, but we really continued to have fun around steaks.",positive
88,I know the two companies are involved in the criticism so remember Excellent = Todd and Becca from Scottsdale Segway Tours.,positive
89,"When I arrived, there was only one person online in front of me and I was very happy because I was hungry and in a hurry.",positive
94,"For $18, to get half of the fried chicken and the sides!",positive
97,"Trust me, if you're hurting the stomach of the dairy, you're gonna convert!",positive
98,"The tamale was not too sweet, but enough to remove the edge of the spice on the pork.",positive
101,Anything you want in a tanning parlor.,positive
102,"Koury shows fearfully and honestly a teenager's class resentment and, in turn, self-inflicted reprisals.",positive
105,"It's a smartly made idea movie, adult.",positive
107,If you are looking for an affordable place to eat that serves fresh quality food at its best then go to The Great Greek.,positive
111,I saw about 5 other selections that I'm excited to try on round trip trips.,positive
114,It's not a stand get up and applaud flick; it's a matter of sitting and thinking.,positive
116,No one here to compete parking with you while all companies close,positive
119,She asked me if I wanted to talk to the director and I agreed.,positive
120,The Persian food here is pretty good.,positive
127,I love a good juicy burger and my friend who's a local said this place is BOMB.,positive
134,"Our meal came pretty fast, so we barely managed to cross the 3 small alleys.",positive
138,The drinks were very large and very strong in order to party all night with friends.,positive
141,"If you love peace, you will love promises.",positive
143,"Well, that means we have to accept on what burger to get.",positive
144,She was patient and understood my frustration.,positive
145,"I was wrong, you certainly have what you pay!!!",positive
149,"One of the best films I've ever seen, constantly pulling the carpet from under us, seeing things from new sides, diving deeper, becoming more intense.",positive
150,Both were so cool and perfect for the heat. I loved them.,positive
151,Fries are the best.,positive
